stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding                                                                                                                                                                                                                       
71801,,Estación de tren Barcelona-Sants,,41.37922,2.140624,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                
61307,,Estación de tren Cartagena,,37.6049670,-0.9751220,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                  
61304,,Estación de tren Torre-Pacheco,,37.7469050,-0.9670780,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                              
61303,,Estación de tren Balsicas-Mar Menor,,37.8188400,-0.9508910,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                         
61200,,Estación de tren Murcia,,37.97465,-1.1299555,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                       
62002,,Estación de tren Orihuela-Miguel Hernandez,,38.0779194,-0.94445,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                    
62103,,Estación de tren Elche Parque/elx Parc,,38.2717784,-0.6952109,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                      
60911,,Estación de tren Alicante/alacant,,38.34445,-0.4950527,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                             
60905,,Estación de tren Elda-Petrer,,38.4848790,-0.8010900,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                
60902,,Estación de tren Villena,,38.6317380,-0.8676890,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
64100,,Estación de tren Xativa,,38.9920972,-0.5244888,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                     
65000,,Estación de tren Valencia-Estacio del Nord,,39.4669346,-0.3771842,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                  
65300,,Estación de tren Castello,,39.9882552,-0.0524126,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                   
65318,,Estación de tren Benicassim,,40.0579451,0.05776460,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                 
65311,,Estación de tren Benicarlo-Penyiscola,,40.4276390,0.41521700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                       
65312,,Estación de tren Vinaros,,40.4716820,0.45572700,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                    
65402,,Estación de tren Laldea-Amposta-Tortosa,,40.7535420,0.61431400,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                     
65422,,Estación de tren CAMBRILS,,41.0816480,1.0460550,,,,,Europe/Madrid,2                                                                                                                                                                                                                                                                                    
71500,,Estación de tren Tarragona,,41.1116240,1.25321400,,,,,Europe/Madrid,1                                                                                                                                                                                                                                                                                  
